k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB,num_verifiers,total_param_GB
5,1.0,0.25,0.25,3.276922131361365,0.5799242792097249,"OffsetBias_scores, DeepSeekQwen32B_verdicts, ArmorRM_scores, Llama-3.3-70B-Instruct_verdicts, URM_scores","8.0, 32.0, 8.0, 70.0, 8.0",5,126.0
5,1.0,0.25,0.5,3.22818241647834,0.5683326701597595,"OffsetBias_scores, DeepSeekQwen32B_verdicts, ArmorRM_scores, URM_scores, GRM_scores","8.0, 32.0, 8.0, 8.0, 8.0",5,64.0
5,1.0,0.25,1.0,3.1491700707993284,0.558456126949883,"OffsetBias_scores, DeepSeekQwen32B_verdicts, ArmorRM_scores, URM_scores, GRM_scores","8.0, 32.0, 8.0, 8.0, 8.0",5,64.0
5,1.0,0.5,0.25,2.9649959370452703,0.49609272555103034,"OffsetBias_scores, EurusPRMStage1_max_scores, DeepSeekQwen32B_verdicts, URM_scores, QwenPRM_max_scores","8.0, 7.0, 32.0, 8.0, 7.0",5,62.0
5,1.0,0.5,0.5,2.926724332106999,0.49177173789670936,"OffsetBias_scores, EurusPRMStage1_max_scores, DeepSeekQwen32B_verdicts, URM_scores, QwenPRM_max_scores","8.0, 7.0, 32.0, 8.0, 7.0",5,62.0
5,1.0,0.5,1.0,2.867466184907245,0.47814917386321115,"OffsetBias_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, URM_scores, DeepSeekQwen32B_verdicts","8.0, 7.0, 7.0, 8.0, 32.0",5,62.0
5,1.0,1.0,0.25,2.868112447696372,0.3468052837302525,"OffsetBias_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores","8.0, 7.0, 7.0, 8.0, 7.0",5,37.0
5,1.0,1.0,0.5,2.845272941523533,0.3424842960759315,"OffsetBias_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores","8.0, 7.0, 7.0, 8.0, 7.0",5,37.0
5,1.0,1.0,1.0,2.799593929177853,0.33384232076728954,"OffsetBias_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores","8.0, 7.0, 7.0, 8.0, 7.0",5,37.0
10,1.0,0.25,0.25,6.080499499003218,0.5477295358577859,"OffsetBias_scores, DeepSeekQwen32B_verdicts, ArmorRM_scores, Llama-3.3-70B-Instruct_verdicts, URM_scores, GRM_scores, SkyworksGemma_scores, DecisionTreeReward8B_scores, InternLM2RewardModel_scores, InternLM2Reward7B_scores","8.0, 32.0, 8.0, 70.0, 8.0, 8.0, 27.0, 8.0, 20.0, 7.0",10,196.0
