dataset_path,k,alpha,beta,gamma,test_select_accuracy,train_select_accuracy,test_sample_accuracy,train_sample_accuracy,num_verifiers,verifiers,train_file,test_file,dataset_name,dataset_type,model_size,greedy_score
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,0.25,0.25,0.53125,0.53125,0.8192187499999999,0.8192187499999999,5,"OffsetBias (8B), DeepSeekQwen (32B), ArmorRM (8B), Llama-3.3-70B Instruct, URM (8B)",results/gpqa-llama70b/weaver_train_k5_b0.25_g0.25.csv,results/gpqa-llama70b/weaver_test_k5_b0.25_g0.25.csv,gpqa-llama70b,GPQA,70B,3.276922131361365
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,0.25,0.5,0.5,0.5,0.775625,0.775625,5,"OffsetBias (8B), DeepSeekQwen (32B), ArmorRM (8B), URM (8B), GRM (8B)",results/gpqa-llama70b/weaver_train_k5_b0.25_g0.5.csv,results/gpqa-llama70b/weaver_test_k5_b0.25_g0.5.csv,gpqa-llama70b,GPQA,70B,3.22818241647834
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,0.25,1.0,0.5,0.5,0.775625,0.775625,5,"OffsetBias (8B), DeepSeekQwen (32B), ArmorRM (8B), URM (8B), GRM (8B)",results/gpqa-llama70b/weaver_train_k5_b0.25_g1.0.csv,results/gpqa-llama70b/weaver_test_k5_b0.25_g1.0.csv,gpqa-llama70b,GPQA,70B,3.1491700707993284
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,0.5,0.25,0.5625,0.5625,0.645,0.645,5,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), DeepSeekQwen (32B), URM (8B), QwenPRM_max_scores (7.63B)",results/gpqa-llama70b/weaver_train_k5_b0.5_g0.25.csv,results/gpqa-llama70b/weaver_test_k5_b0.5_g0.25.csv,gpqa-llama70b,GPQA,70B,2.9649959370452703
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,0.5,0.5,0.5625,0.5625,0.645,0.645,5,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), DeepSeekQwen (32B), URM (8B), QwenPRM_max_scores (7.63B)",results/gpqa-llama70b/weaver_train_k5_b0.5_g0.5.csv,results/gpqa-llama70b/weaver_test_k5_b0.5_g0.5.csv,gpqa-llama70b,GPQA,70B,2.926724332106999
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,0.5,1.0,0.5,0.5,0.775625,0.775625,5,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), URM (8B), DeepSeekQwen (32B)",results/gpqa-llama70b/weaver_train_k5_b0.5_g1.0.csv,results/gpqa-llama70b/weaver_test_k5_b0.5_g1.0.csv,gpqa-llama70b,GPQA,70B,2.867466184907245
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,1.0,0.25,0.359375,0.359375,0.4146875,0.4146875,5,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_max_scores (7.62B)",results/gpqa-llama70b/weaver_train_k5_b1.0_g0.25.csv,results/gpqa-llama70b/weaver_test_k5_b1.0_g0.25.csv,gpqa-llama70b,GPQA,70B,2.868112447696372
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,1.0,0.5,0.359375,0.359375,0.4146875,0.4146875,5,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_max_scores (7.62B)",results/gpqa-llama70b/weaver_train_k5_b1.0_g0.5.csv,results/gpqa-llama70b/weaver_test_k5_b1.0_g0.5.csv,gpqa-llama70b,GPQA,70B,2.845272941523533
wfang11/gpqa-llama70b-10-10-80-dev,5,1.0,1.0,1.0,0.359375,0.359375,0.4146875,0.4146875,5,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_max_scores (7.62B)",results/gpqa-llama70b/weaver_train_k5_b1.0_g1.0.csv,results/gpqa-llama70b/weaver_test_k5_b1.0_g1.0.csv,gpqa-llama70b,GPQA,70B,2.799593929177853
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,0.25,0.25,0.53125,0.53125,0.8192187499999999,0.8192187499999999,10,"OffsetBias (8B), DeepSeekQwen (32B), ArmorRM (8B), Llama-3.3-70B Instruct, URM (8B), GRM (8B), Skyworks_Gemma (27.2B), DecisionTreeReward (8B), InternLM2 (20B), InternLM2 (7B)",results/gpqa-llama70b/weaver_train_k10_b0.25_g0.25.csv,results/gpqa-llama70b/weaver_test_k10_b0.25_g0.25.csv,gpqa-llama70b,GPQA,70B,6.080499499003218
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,0.25,0.5,0.53125,0.53125,0.8192187499999999,0.8192187499999999,10,"OffsetBias (8B), DeepSeekQwen (32B), ArmorRM (8B), URM (8B), GRM (8B), DecisionTreeReward (8B), Skyworks_Gemma (27.2B), InternLM2 (7B), Llama-3.3-70B Instruct, InternLM2 (20B)",results/gpqa-llama70b/weaver_train_k10_b0.25_g0.5.csv,results/gpqa-llama70b/weaver_test_k10_b0.25_g0.5.csv,gpqa-llama70b,GPQA,70B,5.95673502322252
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,0.25,1.0,0.5625,0.5625,0.645,0.645,10,"OffsetBias (8B), DeepSeekQwen (32B), ArmorRM (8B), URM (8B), GRM (8B), DecisionTreeReward (8B), InternLM2 (7B), QwenPRM_max_scores (7.63B), EurusPRMStage2_avg_scores (7.62B), QRM (8B)",results/gpqa-llama70b/weaver_train_k10_b0.25_g1.0.csv,results/gpqa-llama70b/weaver_test_k10_b0.25_g1.0.csv,gpqa-llama70b,GPQA,70B,5.806045198602088
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,0.5,0.25,0.625,0.625,0.8040625000000001,0.8040625000000001,10,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), DeepSeekQwen (32B), URM (8B), QwenPRM_max_scores (7.63B), Llama-3.3-70B Instruct, EurusPRMStage2_max_scores (7.62B), GPM (8B), SkyT1 (32B), EurusPRMStage2_avg_scores (7.62B)",results/gpqa-llama70b/weaver_train_k10_b0.5_g0.25.csv,results/gpqa-llama70b/weaver_test_k10_b0.5_g0.25.csv,gpqa-llama70b,GPQA,70B,5.1231055886324475
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,0.5,0.5,0.625,0.625,0.8040625000000001,0.8040625000000001,10,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), DeepSeekQwen (32B), URM (8B), QwenPRM_max_scores (7.63B), EurusPRMStage2_max_scores (7.62B), GPM (8B), Llama-3.3-70B Instruct, EurusPRMStage2_avg_scores (7.62B), SkyT1 (32B)",results/gpqa-llama70b/weaver_train_k10_b0.5_g0.5.csv,results/gpqa-llama70b/weaver_test_k10_b0.5_g0.5.csv,gpqa-llama70b,GPQA,70B,5.008290773817632
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,0.5,1.0,0.5625,0.5625,0.7,0.7,10,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), URM (8B), DeepSeekQwen (32B), EurusPRMStage2_max_scores (7.62B), GPM (8B), EurusPRMStage2_avg_scores (7.62B), ArmorRM (8B), SkyT1 (32B)",results/gpqa-llama70b/weaver_train_k10_b0.5_g1.0.csv,results/gpqa-llama70b/weaver_test_k10_b0.5_g1.0.csv,gpqa-llama70b,GPQA,70B,4.811047265696169
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,1.0,0.25,0.59375,0.59375,0.75953125,0.75953125,10,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_max_scores (7.62B), URM (8B), DeepSeekQwen (32B), Qwen2.5-72B Instruct, Llama-3.3-70B Instruct, SkyT1 (32B)",results/gpqa-llama70b/weaver_train_k10_b1.0_g0.25.csv,results/gpqa-llama70b/weaver_test_k10_b1.0_g0.25.csv,gpqa-llama70b,GPQA,70B,4.176258966741632
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,1.0,0.5,0.59375,0.59375,0.75953125,0.75953125,10,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_max_scores (7.62B), URM (8B), DeepSeekQwen (32B), Qwen2.5-72B Instruct, Llama-3.3-70B Instruct, SkyT1 (32B)",results/gpqa-llama70b/weaver_train_k10_b1.0_g0.5.csv,results/gpqa-llama70b/weaver_test_k10_b1.0_g0.5.csv,gpqa-llama70b,GPQA,70B,4.021320695136694
wfang11/gpqa-llama70b-10-10-80-dev,10,1.0,1.0,1.0,0.625,0.625,0.7009375,0.7009375,10,"OffsetBias (8B), EurusPRMStage1_max_scores (7.62B), QwenPRM_avg_scores (7.63B), GPM (8B), EurusPRMStage2_max_scores (7.62B), URM (8B), DeepSeekQwen (32B), EurusPRMStage2_avg_scores (7.62B), SkyT1 (32B), EurusPRMStage1_min_scores (7.62B)",results/gpqa-llama70b/weaver_train_k10_b1.0_g1.0.csv,results/gpqa-llama70b/weaver_test_k10_b1.0_g1.0.csv,gpqa-llama70b,GPQA,70B,3.7656183185892194
