k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB,num_verifiers,total_param_GB
5,1.0,0.25,0.25,3.665849929225708,0.6831179020445765,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores","32.0, 7.0, 72.0, 7.0, 7.0",5,125.0
5,1.0,0.25,0.5,3.604767267410323,0.6662280722846459,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GPM_scores","32.0, 7.0, 7.0, 7.0, 8.0",5,61.0
5,1.0,0.25,1.0,3.5139961538085887,0.6563515290747693,"QwenPRM_avg_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, DeepSeekQwen32B_verdicts, GPM_scores","7.0, 7.0, 7.0, 32.0, 8.0",5,61.0
5,1.0,0.5,0.25,3.4316627547251075,0.6112191048579424,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores","32.0, 7.0, 8.0, 7.0, 7.0",5,61.0
5,1.0,0.5,0.5,3.3940084337374534,0.6068981172036214,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores","32.0, 7.0, 8.0, 7.0, 7.0",5,61.0
5,1.0,0.5,1.0,3.2489821104360423,0.5351977205248549,"QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores","7.0, 8.0, 7.0, 7.0, 7.0",5,36.0
5,1.0,1.0,0.25,3.0748778206841525,0.4991707049387111,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores","32.0, 8.0, 7.0, 27.0, 7.0",5,81.0
5,1.0,1.0,0.5,3.0248778206841522,0.48553110495187257,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, LDLRewardGemma_scores","32.0, 8.0, 7.0, 7.0, 27.0",5,81.0
5,1.0,1.0,1.0,2.879005836293229,0.4176574742946954,"QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, EurusPRMStage2_max_scores","7.0, 8.0, 7.0, 27.0, 7.0",5,56.0
10,1.0,0.25,0.25,6.909015376009378,0.6107206287453735,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GPM_scores, DeepSeekLlama70B_verdicts, QwenPRM_max_scores, InternLM2Reward7B_scores, QwenPRM_avg_scores","32.0, 7.0, 72.0, 7.0, 7.0, 8.0, 70.0, 7.0, 7.0, 7.0",10,224.0
10,1.0,0.25,0.5,6.771663213294612,0.6063996410910525,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GPM_scores, Qwen72B_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, DeepSeekLlama70B_verdicts, QwenPRM_avg_scores","32.0, 7.0, 7.0, 7.0, 8.0, 72.0, 7.0, 7.0, 70.0, 7.0",10,224.0
10,1.0,0.25,1.0,6.514066449724868,0.5621807936074863,"QwenPRM_avg_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, DeepSeekQwen32B_verdicts, GPM_scores, InternLM2Reward7B_scores, QwenPRM_max_scores, QwenPRM_min_scores, Skyworks_scores, Qwen72B_scores","7.0, 7.0, 7.0, 32.0, 8.0, 7.0, 7.0, 7.0, 8.0, 72.0",10,162.0
10,1.0,0.5,0.25,6.079978639210145,0.4886306804445439,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts, LDLRewardGemma_scores","32.0, 7.0, 8.0, 7.0, 7.0, 72.0, 7.0, 7.0, 70.0, 27.0",10,244.0
10,1.0,0.5,0.5,5.929361355259529,0.456488927722366,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores, LDLRewardGemma_scores, DeepSeekLlama70B_verdicts","32.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 72.0, 27.0, 70.0",10,244.0
10,1.0,0.5,1.0,5.584872787849649,0.4208305143322668,"QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, DeepSeekQwen32B_verdicts, QwenPRM_max_scores, LDLRewardGemma_scores, Qwen72B_scores, Skyworks_scores","7.0, 8.0, 7.0, 7.0, 7.0, 32.0, 7.0, 27.0, 72.0, 8.0",10,182.0
10,1.0,1.0,0.25,4.627372734136516,0.18055041465435448,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, Qwen72B_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts","32.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 72.0, 7.0, 70.0",10,244.0
10,1.0,1.0,0.5,4.488605388336958,0.14919047626220333,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, LDLRewardGemma_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores, EurusPRMStage1_avg_scores","32.0, 8.0, 7.0, 7.0, 27.0, 7.0, 7.0, 7.0, 72.0, 7.0",10,181.0
10,1.0,1.0,1.0,4.075718456778563,0.14054850095356136,"QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, DeepSeekQwen32B_verdicts, Qwen72B_scores, EurusPRMStage1_avg_scores","7.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 32.0, 72.0, 7.0",10,181.0
15,1.0,0.25,0.25,9.66563375975558,0.521113081623893,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GPM_scores, DeepSeekLlama70B_verdicts, QwenPRM_max_scores, InternLM2Reward7B_scores, QwenPRM_avg_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage2_min_scores, LDLRewardGemma_scores, QRM_scores","32.0, 7.0, 72.0, 7.0, 7.0, 8.0, 70.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0, 27.0, 8.0",15,282.0
15,1.0,0.25,0.5,9.492479127905014,0.5104706077001349,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GPM_scores, Qwen72B_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, DeepSeekLlama70B_verdicts, QwenPRM_avg_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage2_min_scores, QRM_scores, LDLRewardGemma_scores","32.0, 7.0, 7.0, 7.0, 8.0, 72.0, 7.0, 7.0, 70.0, 7.0, 8.0, 8.0, 7.0, 8.0, 27.0",15,282.0
15,1.0,0.25,1.0,9.135641606520052,0.4993038673272975,"QwenPRM_avg_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, DeepSeekQwen32B_verdicts, GPM_scores, InternLM2Reward7B_scores, QwenPRM_max_scores, QwenPRM_min_scores, Skyworks_scores, Qwen72B_scores, ArmorRM_scores, DeepSeekLlama70B_verdicts, EurusPRMStage2_min_scores, QRM_scores, EurusPRMStage1_min_scores","7.0, 7.0, 7.0, 32.0, 8.0, 7.0, 7.0, 7.0, 8.0, 72.0, 8.0, 70.0, 7.0, 8.0, 7.0",15,262.0
15,1.0,0.5,0.25,8.106328676883088,0.3813316369394663,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts, LDLRewardGemma_scores, Skyworks_scores, ArmorRM_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores, SkyT1_verdicts","32.0, 7.0, 8.0, 7.0, 7.0, 72.0, 7.0, 7.0, 70.0, 27.0, 8.0, 8.0, 7.0, 7.0, 32.0",15,306.0
15,1.0,0.5,0.5,7.9174397879942,0.3615785505197132,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores, LDLRewardGemma_scores, DeepSeekLlama70B_verdicts, Skyworks_scores, ArmorRM_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores, SkyT1_verdicts","32.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 72.0, 27.0, 70.0, 8.0, 8.0, 7.0, 7.0, 32.0",15,306.0
15,1.0,0.5,1.0,7.445758215246261,0.32358338494001954,"QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, DeepSeekQwen32B_verdicts, QwenPRM_max_scores, LDLRewardGemma_scores, Qwen72B_scores, Skyworks_scores, ArmorRM_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, DeepSeekLlama70B_verdicts, URM_scores","7.0, 8.0, 7.0, 7.0, 7.0, 32.0, 7.0, 27.0, 72.0, 8.0, 8.0, 7.0, 7.0, 70.0, 8.0",15,282.0
15,1.0,1.0,0.25,5.325109816446771,0.12347051357543475,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, Qwen72B_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts, SkyT1_verdicts, EurusPRMStage1_avg_scores, Llama-3.3-70B-Instruct_verdicts, EurusPRMStage1_min_scores, ArmorRM_scores","32.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 72.0, 7.0, 70.0, 32.0, 7.0, 70.0, 7.0, 8.0",15,368.0
